name,stars,forks,language,created_at,repo_age_days,stars_per_day,score
Jobs_Applier_AI_Agent_AIHawk,29520,4495,Python,2024-08-04 12:15:06+00:00,594,49.61344537815126,19065.461344537816
tqdm,31051,1441,Python,2015-06-03 13:13:14+00:00,3944,7.870975918884664,19063.687097591886
fastai,27923,7674,Jupyter Notebook,2017-09-09 17:43:36+00:00,3115,8.961168164313221,19056.89611681643
hosts,30056,2398,Python,2012-04-12 20:22:50+00:00,5091,5.902592301649647,18753.590259230165
d2l-en,28458,4994,Python,2018-10-09 01:04:37+00:00,2720,10.458654906284455,18574.04586549063
EasyOCR,29128,3541,Python,2020-03-14 11:46:39+00:00,2198,13.246020918599363,18540.424602091858
celery,28288,4996,Python,2009-04-24 11:31:24+00:00,6175,4.580310880829016,18472.058031088083
redash,28293,4565,Python,2013-10-28 13:19:39+00:00,4527,6.248454063604241,18345.92484540636
mihomo,28002,3774,Python,2021-05-20 11:06:33+00:00,1766,15.847198641765704,17934.984719864176
composio,27464,4485,TypeScript,2024-02-23 13:58:27+00:00,757,36.23218997361477,17827.523218997358
spleeter,28105,3063,Python,2019-09-26 15:40:46+00:00,2368,11.863655550865344,17783.08636555509
langgraph,27073,4662,Python,2023-08-09 18:33:12+00:00,955,28.319037656903767,17645.23190376569
locust,27624,3192,Python,2011-02-17 11:08:03+00:00,5511,5.011611030478955,17532.501161103046
reflex,28252,1699,Python,2022-10-25 03:08:48+00:00,1243,22.710610932475884,17463.17106109325
python-fire,28155,1474,Python,2017-02-21 21:35:07+00:00,3314,8.493212669683258,17336.049321266968
Resume-Matcher,26371,4747,TypeScript,2020-04-08 03:26:49+00:00,2173,12.13017479300828,17247.9130174793
pydantic,27295,2502,Python,2017-05-03 21:23:58+00:00,3243,8.41399506781751,17128.44139950678
searxng,26933,2632,Python,2021-04-12 15:18:15+00:00,1804,14.921329639889196,16950.892132963985
ArchiveBox,27096,1496,Python,2017-05-05 08:50:14+00:00,3242,8.35522664199815,16707.2355226642
algorithms,25401,4735,Python,2016-11-17 22:32:08+00:00,3410,7.44678979771328,16661.84467897977
RAG_Techniques,26156,3095,Jupyter Notebook,2024-07-13 16:08:36+00:00,616,42.392220421393844,16626.339222042137
gpt-researcher,25897,3451,Python,2023-05-12 10:33:54+00:00,1044,24.78181818181818,16575.97818181818
flatbuffers,25701,3520,C++,2014-05-19 18:33:01+00:00,4324,5.94242774566474,16477.194242774563
AstrBot,26327,1799,Python,2022-12-08 13:27:46+00:00,1199,21.939166666666665,16338.093916666667
pipenv,25100,1879,Python,2017-01-20 00:44:02+00:00,3347,7.497013142174432,15624.449701314219
asdf,25181,921,Go,2014-11-29 04:41:43+00:00,4130,6.095618494311305,15385.509561849429
